Name,Category,Key Points / Tips,Priority,Resource Link
Seating Arrangement / Puzzles,Logical Reasoning,"Complex puzzle describing people sitting in order (line or circle) or with attributes. **Tip**: Draw a diagram (circle or line), use placeholders. Use elimination tables for attributes. Tackle definite statements first (""A sits immediate left of B""), then use clues to narrow possibilities. Keep track of all constraints; it's often a matter of fitting pieces satisfying all clues.",P1,N/A
Series (Number/Alphabet series),Logical Reasoning,"Identify pattern in sequence of numbers or letters. Could be arithmetic (±,×) or alternating patterns. **Tip**: Write differences or ratios for number series. For letters, map to positions (A=1 etc.) to see jumps. Common ones: squares, primes, Fibonacci, or alternating addition/subtraction. Practice common sequences.",P0,https://www.geeksforgeeks.org/aptitude/number-series-in-quantitative-aptitude/
Data Interpretation (Charts/Tables),Logical Reasoning,Graphs or tables and questions. **Tip**: Scan the chart to understand variables. Do quick calculations for percentages or ratio if asked. Careful with units. Sometimes approximate if options are far apart. Manage time: don't get bogged down in heavy calculation – often a logical estimation works.,P1,https://www.geeksforgeeks.org/aptitude/data-interpretation-problems-for-placements/
Synonyms & Antonyms (Vocabulary),Verbal Ability,"Test of word meanings. **Tips**: Improve vocabulary – know common difficult words seen in exams. **Trick**: If unsure, eliminate obviously wrong choices (e.g. a synonym likely same part of speech). Recognize prefixes/suffixes: e.g. ""inevitable"" – synonyms: unavoidable",P0,https://www.geeksforgeeks.org/aptitude/synonyms/
Sentence Arrangement (Para Jumbles),Verbal Ability,"Given shuffled sentences forming a paragraph. **Tip**: Find the logical order: usually start with an introductory sentence (often the one defining a topic, lacking pronouns that refer back). Look for connecting clues: pronouns (""this"", ""he"") refer to something mentioned earlier; chronological or logical sequence words (""However"", ""Finally"") indicate position. Trial and error pair sentences and form the best flow of ideas.",P1,N/A
Numbers (Number system basics),Quantitative,"Types (natural, integers, primes), LCM/HCF, divisibility. Patterns: remainders, last digit, cyclicity, unit digit, digit-sum, base conversion. Trick: use modular arithmetic for remainder patterns.",P0,https://www.geeksforgeeks.org/maths/numbers/
LCM & HCF (advanced applications),Quantitative,"Patterns: smallest number divisible by..., largest number dividing..., HCF via Euclid, LCM-HCF relation, co-primes. Trick: prime factorization for fast multi-number LCM/HCF.",P0,https://www.geeksforgeeks.org/aptitude/lcm-and-hcf/
Simplification & Approximation,Quantitative,"Patterns: BODMAS, fraction simplification, decimals, surds approximations, option-elimination by range. Trick: round smartly, keep 2 significant steps, use ratio scaling.",P0,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/
Percentages,Quantitative,"Percent = part/whole*100. Patterns: successive % change, population change, markup-discount chain, comparison. Trick: fraction equivalents (50%=1/2, 25%=1/4), successive change = a+b+ab/100.",P0,https://www.geeksforgeeks.org/aptitude/percentage-aptitude-questions/
Profit and Loss,Quantitative,"Patterns: profit-loss%, discount, markup, MP-SP-CP relations, dishonest weights. Trick: assume CP=100 for % questions; successive discounts multiply.",P0,https://www.geeksforgeeks.org/aptitude/profit-and-loss-questions-aptitude/
Discounts (standalone),Quantitative,"Patterns: single discount, successive discounts, equivalent discount, discount with GST, marked price changes. Trick: equivalent discount = a+b-(ab/100).",P0,https://www.geeksforgeeks.org/aptitude/profit-and-loss-questions-aptitude/
Average,Quantitative,"Avg = sum/n. Patterns: missing term, weighted average, combined average, average speed special cases. Trick: deviation method: sum deviations = 0.",P0,https://www.geeksforgeeks.org/aptitude/average-aptitude-questions-answers/
Ratio and Proportion,Quantitative,"Patterns: division in ratio, inverse ratio, continued proportion, partnership linkage. Trick: convert to fractions, use componendo-dividendo where useful.",P0,https://www.geeksforgeeks.org/aptitude/ratio-and-proportion-aptitude-questions/
Partnership,Quantitative,"Patterns: profit sharing by capital*time, different investment times, salary/commission partner. Trick: compute 'money-months' then ratio.",P1,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/
Mixture and Alligation,Quantitative,"Patterns: mixing % solutions, price mixtures, replacement, repeated dilution. Trick: alligation X-rule gives quantity ratio quickly.",P1,https://www.geeksforgeeks.org/alligation-or-mixture-rules-formula-and-shortcuts/
Simple Interest (SI),Quantitative,"SI = (P*R*T)/100. Patterns: rate changes, time comparisons, installment-based SI. Trick: treat rate-time as linear multipliers.",P0,https://www.geeksforgeeks.org/aptitude/simple-interest-questions-answers/
Compound Interest (CI),Quantitative,"Patterns: annual/half-yearly compounding, CI-SI difference, growth/decay. Trick: use (1+r/100)^n, for small r use approximation when options are far.",P1,https://www.geeksforgeeks.org/aptitude/compound-interest-questions-answers/
Time and Work,Quantitative,"Work-rate model. Patterns: efficiency ratios, wages, alternate days, groups joining-leaving. Trick: take LCM work units; combined time formula for two workers.",P0,https://www.geeksforgeeks.org/aptitude-time-and-work-problems-and-shortcuts/
Work and Wages,Quantitative,"Patterns: wage proportional to work done, efficiency to wage mapping, partial work payments. Trick: convert to 'work units' then split proportionally.",P1,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/
Pipes and Cisterns,Quantitative,"Patterns: fill-drain together, leaks, intermittent pipes. Trick: rates add, draining is negative; use LCM tank units.",P1,https://www.geeksforgeeks.org/pipes-and-cistern-problems-shortcuts-and-formulas/
"Time, Speed and Distance",Quantitative,"D=S*T. Patterns: relative speed, average speed, circular tracks, races. Trick: m/s to km/h = *3.6; same direction subtract speeds.",P0,https://www.geeksforgeeks.org/speed-time-and-distance-formulas-and-concepts/
"Trains (crossing, platforms)",Quantitative,"Patterns: train crossing pole/platform/another train, time to pass. Trick: distance = sum of lengths for crossing two trains.",P1,https://www.geeksforgeeks.org/aptitude/problem-on-trains-boat-and-streams/
Boats and Streams,Quantitative,"Patterns: upstream/downstream, still water speed, meeting point. Trick: downstream=u+v, upstream=u-v.",P1,https://www.geeksforgeeks.org/aptitude/problem-on-trains-boat-and-streams/
Algebra (Equations),Quantitative,"Patterns: linear equations, quadratic roots, simultaneous equations, word-to-equation. Trick: plug options if numeric choices are present.",P1,https://www.geeksforgeeks.org/aptitude/algebra/
Surds and Indices,Quantitative,"Patterns: simplify radicals, rationalize denominators, exponent laws, comparing surds. Trick: convert to common base where possible.",P1,https://www.geeksforgeeks.org/aptitude/aptitude-questions-and-answers/
Logarithms (basics),Quantitative,"Patterns: change of base, log identities, solving simple log equations. Trick: log_a(xy)=log_a x + log_a y.",P2,https://www.geeksforgeeks.org/maths/logarithms/
